,ticker,date,close
14040325,UDR,2018-03-27,34.7
14043071,UEC,2018-03-02,1.38
14043072,UEC,2018-03-05,1.33
14043073,UEC,2018-03-06,1.38
14043074,UEC,2018-03-07,1.36
14043075,UEC,2018-03-08,1.32
14043076,UEC,2018-03-09,1.4
14043077,UEC,2018-03-12,1.36
14043078,UEC,2018-03-13,1.34
14043079,UEC,2018-03-14,1.36
14043080,UEC,2018-03-15,1.32
14043081,UEC,2018-03-16,1.34
14043082,UEC,2018-03-19,1.33
14043083,UEC,2018-03-20,1.32
14043084,UEC,2018-03-21,1.35
14043085,UEC,2018-03-22,1.33
14043086,UEC,2018-03-23,1.3
14043087,UEC,2018-03-26,1.29
14043088,UEC,2018-03-27,1.26
14049396,UEIC,2018-03-02,50.05
14049397,UEIC,2018-03-05,52.1
14049398,UEIC,2018-03-06,52.05
14049399,UEIC,2018-03-07,52.75
14049400,UEIC,2018-03-08,53.5
14049401,UEIC,2018-03-09,53.95
14049402,UEIC,2018-03-12,54.95
14049403,UEIC,2018-03-13,55.4
14049404,UEIC,2018-03-14,53.65
14049405,UEIC,2018-03-15,53.7
14049406,UEIC,2018-03-16,54.35
14049407,UEIC,2018-03-19,53.0
14049408,UEIC,2018-03-20,52.35
14049409,UEIC,2018-03-21,51.9
14049410,UEIC,2018-03-22,50.9
14049411,UEIC,2018-03-23,49.85
14049412,UEIC,2018-03-26,50.3
14049413,UEIC,2018-03-27,50.55
14056452,UFCS,2018-03-02,45.07
14056453,UFCS,2018-03-05,45.48
14056454,UFCS,2018-03-06,45.74
14056455,UFCS,2018-03-07,46.29
14056456,UFCS,2018-03-08,46.26
14056457,UFCS,2018-03-09,47.75
14056458,UFCS,2018-03-12,48.16
14056459,UFCS,2018-03-13,47.97
14056460,UFCS,2018-03-14,47.66
14056461,UFCS,2018-03-15,48.4
14056462,UFCS,2018-03-16,48.76
14056463,UFCS,2018-03-19,48.72
14056464,UFCS,2018-03-20,48.97
14056465,UFCS,2018-03-21,48.76
14056466,UFCS,2018-03-22,48.08
14056467,UFCS,2018-03-23,46.96
14056468,UFCS,2018-03-26,47.2
14056469,UFCS,2018-03-27,46.93
14063508,UFI,2018-03-02,35.9
14063509,UFI,2018-03-05,35.82
14063510,UFI,2018-03-06,36.12
14063511,UFI,2018-03-07,35.71
14063512,UFI,2018-03-08,35.18
14063513,UFI,2018-03-09,36.2
14063514,UFI,2018-03-12,36.47
14063515,UFI,2018-03-13,36.5
14063516,UFI,2018-03-14,36.48
14063517,UFI,2018-03-15,36.64
14063518,UFI,2018-03-16,37.32
14063519,UFI,2018-03-19,36.81
14063520,UFI,2018-03-20,36.63
14063521,UFI,2018-03-21,36.18
14063522,UFI,2018-03-22,36.1
14063523,UFI,2018-03-23,36.1
14063524,UFI,2018-03-26,36.53
14063525,UFI,2018-03-27,36.06
14069645,UFPI,2018-03-02,32.69
14069646,UFPI,2018-03-05,32.73
14069647,UFPI,2018-03-06,32.85
14069648,UFPI,2018-03-07,32.94
14069649,UFPI,2018-03-08,32.76
14069650,UFPI,2018-03-09,33.42
14069651,UFPI,2018-03-12,33.63
14069652,UFPI,2018-03-13,33.79
14069653,UFPI,2018-03-14,33.7
14069654,UFPI,2018-03-15,33.46
14069655,UFPI,2018-03-16,33.62
14069656,UFPI,2018-03-19,33.54
14069657,UFPI,2018-03-20,33.47
14069658,UFPI,2018-03-21,33.42
14069659,UFPI,2018-03-22,33.06
14069660,UFPI,2018-03-23,31.94
14069661,UFPI,2018-03-26,32.72
14069662,UFPI,2018-03-27,32.15
14075756,UFPT,2018-03-02,27.5
14075757,UFPT,2018-03-05,27.65
14075758,UFPT,2018-03-06,28.05
14075759,UFPT,2018-03-07,28.7
14075760,UFPT,2018-03-08,28.5
14075761,UFPT,2018-03-09,29.25
14075762,UFPT,2018-03-12,29.7
14075763,UFPT,2018-03-13,30.05
14075764,UFPT,2018-03-14,30.05
14075765,UFPT,2018-03-15,30.7
14075766,UFPT,2018-03-16,30.1
14075767,UFPT,2018-03-19,29.75
14075768,UFPT,2018-03-20,29.95
14075769,UFPT,2018-03-21,30.0
14075770,UFPT,2018-03-22,29.75
14075771,UFPT,2018-03-23,28.95
14075772,UFPT,2018-03-26,29.6
14075773,UFPT,2018-03-27,29.25
14078540,UFS,2018-03-02,45.38
14078541,UFS,2018-03-05,45.56
14078542,UFS,2018-03-06,46.11
14078543,UFS,2018-03-07,45.94
14078544,UFS,2018-03-08,45.46
14078545,UFS,2018-03-09,46.55
14078546,UFS,2018-03-12,46.57
14078547,UFS,2018-03-13,45.77
14078548,UFS,2018-03-14,45.52
14078549,UFS,2018-03-15,45.78
14078550,UFS,2018-03-16,45.4
14078551,UFS,2018-03-19,44.54
14078552,UFS,2018-03-20,44.92
14078553,UFS,2018-03-21,45.2
14078554,UFS,2018-03-22,44.0
14078555,UFS,2018-03-23,41.92
14078556,UFS,2018-03-26,43.34
14078557,UFS,2018-03-27,42.67
14086158,UGI,2018-03-02,42.97
14086159,UGI,2018-03-05,43.8
14086160,UGI,2018-03-06,43.52
14086161,UGI,2018-03-07,43.65
14086162,UGI,2018-03-08,43.66
14086163,UGI,2018-03-09,43.93
14086164,UGI,2018-03-12,44.25
14086165,UGI,2018-03-13,44.19
14086166,UGI,2018-03-14,43.93
14086167,UGI,2018-03-15,43.42
14086168,UGI,2018-03-16,44.16
14086169,UGI,2018-03-19,43.95
14086170,UGI,2018-03-20,43.5
14086171,UGI,2018-03-21,43.57
14086172,UGI,2018-03-22,43.48
14086173,UGI,2018-03-23,42.86
14086174,UGI,2018-03-26,43.24
14086175,UGI,2018-03-27,43.61
14092046,UHAL,2018-03-02,331.17
14092047,UHAL,2018-03-05,331.69
14092048,UHAL,2018-03-06,332.82
14092049,UHAL,2018-03-07,329.075
14092050,UHAL,2018-03-08,328.46
14092051,UHAL,2018-03-09,341.44
14092052,UHAL,2018-03-12,336.95
14092053,UHAL,2018-03-13,340.71
14092054,UHAL,2018-03-14,340.39
14092055,UHAL,2018-03-15,340.56
14092056,UHAL,2018-03-16,343.95
14092057,UHAL,2018-03-19,343.92
14092058,UHAL,2018-03-20,341.43
14092059,UHAL,2018-03-21,342.11
14092060,UHAL,2018-03-22,340.0
14092061,UHAL,2018-03-23,338.0
14092062,UHAL,2018-03-26,343.57
14092063,UHAL,2018-03-27,341.57
14099102,UHS,2018-03-02,123.84
14099103,UHS,2018-03-05,123.85
14099104,UHS,2018-03-06,124.95
14099105,UHS,2018-03-07,126.2
14099106,UHS,2018-03-08,127.27
14099107,UHS,2018-03-09,126.66
14099108,UHS,2018-03-12,126.28
14099109,UHS,2018-03-13,123.89
14099110,UHS,2018-03-14,123.26
14099111,UHS,2018-03-15,123.83
14099112,UHS,2018-03-16,123.51
14099113,UHS,2018-03-19,123.07
14099114,UHS,2018-03-20,122.9
14099115,UHS,2018-03-21,124.22
14099116,UHS,2018-03-22,123.03
14099117,UHS,2018-03-23,121.17
14099118,UHS,2018-03-26,120.23
14099119,UHS,2018-03-27,120.44
14106760,UHT,2018-03-02,57.0
14106761,UHT,2018-03-05,58.0
14106762,UHT,2018-03-06,58.88
14106763,UHT,2018-03-07,60.26
14106764,UHT,2018-03-08,59.64
14106765,UHT,2018-03-09,60.19
14106766,UHT,2018-03-12,60.62
14106767,UHT,2018-03-13,60.39
14106768,UHT,2018-03-14,60.19
14106769,UHT,2018-03-15,60.06
14106770,UHT,2018-03-16,61.05
14106771,UHT,2018-03-19,61.19
14106772,UHT,2018-03-20,60.42
14106773,UHT,2018-03-21,59.79
14106774,UHT,2018-03-22,59.62
14106775,UHT,2018-03-23,57.56
14106776,UHT,2018-03-26,58.09
14106777,UHT,2018-03-27,58.49
14109373,UIHC,2018-03-02,19.63
14109374,UIHC,2018-03-05,19.87
14109375,UIHC,2018-03-06,19.18
14109376,UIHC,2018-03-07,19.19
14109377,UIHC,2018-03-08,19.83
14109378,UIHC,2018-03-09,19.98
14109379,UIHC,2018-03-12,20.0
14109380,UIHC,2018-03-13,19.97
14109381,UIHC,2018-03-14,19.97
14109382,UIHC,2018-03-15,19.83
14109383,UIHC,2018-03-16,19.96
14109384,UIHC,2018-03-19,20.0
14109385,UIHC,2018-03-20,19.97
14109386,UIHC,2018-03-21,19.84
14109387,UIHC,2018-03-22,19.72
14109388,UIHC,2018-03-23,19.35
14109389,UIHC,2018-03-26,19.25
14109390,UIHC,2018-03-27,19.1
14128063,UIS,2018-03-02,11.25
14128064,UIS,2018-03-05,11.8
14128065,UIS,2018-03-06,11.3
14128066,UIS,2018-03-07,11.4
14128067,UIS,2018-03-08,11.35
14128068,UIS,2018-03-09,11.3
14128069,UIS,2018-03-12,11.4
14128070,UIS,2018-03-13,11.35
14128071,UIS,2018-03-14,11.35
14128072,UIS,2018-03-15,11.2
14128073,UIS,2018-03-16,11.35
14128074,UIS,2018-03-19,11.15
14128075,UIS,2018-03-20,11.35
14128076,UIS,2018-03-21,11.45
14128077,UIS,2018-03-22,10.9
14128078,UIS,2018-03-23,10.4
14128079,UIS,2018-03-26,10.85
14128080,UIS,2018-03-27,10.45
14130685,ULTA,2018-03-02,194.0
14130686,ULTA,2018-03-05,197.88
14130687,ULTA,2018-03-06,200.22
14130688,ULTA,2018-03-07,201.07
14130689,ULTA,2018-03-08,206.54
14130690,ULTA,2018-03-09,205.92
14130691,ULTA,2018-03-12,207.62
14130692,ULTA,2018-03-13,208.4
14130693,ULTA,2018-03-14,201.99
14130694,ULTA,2018-03-15,206.14
14130695,ULTA,2018-03-16,221.88
14130696,ULTA,2018-03-19,215.6
14130697,ULTA,2018-03-20,215.63
14130698,ULTA,2018-03-21,213.0
14130699,ULTA,2018-03-22,207.36
14130700,ULTA,2018-03-23,202.29
14130701,ULTA,2018-03-26,207.9
14130702,ULTA,2018-03-27,204.92
14135661,ULTI,2018-03-02,250.1
14135662,ULTI,2018-03-05,252.54
14135663,ULTI,2018-03-06,252.11
14135664,ULTI,2018-03-07,253.38
14135665,ULTI,2018-03-08,254.37
14135666,ULTI,2018-03-09,253.88
14135667,ULTI,2018-03-12,251.55
14135668,ULTI,2018-03-13,248.78
14135669,ULTI,2018-03-14,247.61
14135670,ULTI,2018-03-15,248.06
14135671,ULTI,2018-03-16,248.54
14135672,ULTI,2018-03-19,246.02
14135673,ULTI,2018-03-20,249.39
14135674,ULTI,2018-03-21,250.76
14135675,ULTI,2018-03-22,244.84
14135676,ULTI,2018-03-23,241.7
14135677,ULTI,2018-03-26,248.67
14135678,ULTI,2018-03-27,239.61
14145237,UMBF,2018-03-02,74.49
14145238,UMBF,2018-03-05,75.53
14145239,UMBF,2018-03-06,76.88
14145240,UMBF,2018-03-07,76.85
14145241,UMBF,2018-03-08,75.87
14145242,UMBF,2018-03-09,76.99
14145243,UMBF,2018-03-12,76.91
14145244,UMBF,2018-03-13,76.85
14145245,UMBF,2018-03-14,75.94
14145246,UMBF,2018-03-15,76.76
14145247,UMBF,2018-03-16,76.64
14145248,UMBF,2018-03-19,76.05
14145249,UMBF,2018-03-20,76.03
14145250,UMBF,2018-03-21,76.09
14145251,UMBF,2018-03-22,73.8
14145252,UMBF,2018-03-23,71.14
14145253,UMBF,2018-03-26,72.83
14145254,UMBF,2018-03-27,71.49
14151357,UMH,2018-03-02,11.88
14151358,UMH,2018-03-05,11.8
14151359,UMH,2018-03-06,11.86
14151360,UMH,2018-03-07,12.2
14151361,UMH,2018-03-08,12.09
14151362,UMH,2018-03-09,12.22
14151363,UMH,2018-03-12,12.87
14151364,UMH,2018-03-13,12.87
14151365,UMH,2018-03-14,12.76
14151366,UMH,2018-03-15,12.68
14151367,UMH,2018-03-16,12.9
14151368,UMH,2018-03-19,12.87
14151369,UMH,2018-03-20,12.75
14151370,UMH,2018-03-21,12.84
14151371,UMH,2018-03-22,12.83
14151372,UMH,2018-03-23,12.85
14151373,UMH,2018-03-26,12.99
14151374,UMH,2018-03-27,13.18
14156343,UMPQ,2018-03-02,21.88
14156344,UMPQ,2018-03-05,22.08
14156345,UMPQ,2018-03-06,22.51
14156346,UMPQ,2018-03-07,22.79
14156347,UMPQ,2018-03-08,22.53
14156348,UMPQ,2018-03-09,23.14
